target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
K2-8,K3 V,4870,169.7935178,-0.2844389,2,GALEX,2.92942E+18,MISWZN11_12796_0315,170.1462109,-0.460912133,54553.87001,1527.1,UV,FUV,,55275.25302,GALEX,MIS,0
Kepler-661,,4392,283.7107463,47.8631748,2,GALEX,3.73011E+18,MISKEP_10603_0009,283.737549,47.32395386,55735.13426,1369.85,UV,NUV,,55992.22494,GALEX,MIS,0
HD 102329,,4745,176.6941567,3.4742143,2,GALEX,3.85846E+18,MISGCSN3_12965_0234,176.9464307,3.914983059,55288.68501,1625.05,UV,NUV,,55992.17101,GALEX,MIS,0
Kepler-102,,4812,281.4824731,47.2078263,2,GALEX,6.3712E+18,AIS_8_1_67,281.0310613,46.95347472,53982.30603,350.95,UV,NUV,,56188.97867,GALEX,AIS,0
Kepler-102,,4812,281.4824731,47.2078263,2,GALEX,6.3712E+18,AIS_8_1_67,281.0310613,46.95347472,53982.30603,158.95,UV,FUV,,56188.97867,GALEX,AIS,0
K2-199,,4491,208.9014508,-6.1360833,2,GALEX,6.37918E+18,AIS_235_1_1,209.372431,-6.390472023,53502.65906,229,UV,NUV,,55378.90594,GALEX,AIS,0
K2-199,,4491,208.9014508,-6.1360833,2,GALEX,6.37918E+18,AIS_235_1_1,209.372431,-6.390472023,54229.37413,109,UV,FUV,,55378.90594,GALEX,AIS,0
Kepler-661,,4392,283.7107463,47.8631748,2,GALEX,6.45521E+18,KEPLER_10603_0009_css33473,283.8097989,47.29362981,55049.80558,753.4,UV,NUV,,56209.91985,GALEX,DIS,0
11 Com,G8 III,4742,185.1787793,17.7932516,2,GALEX,3.06301E+18,GI1_079004_NGC4293,185.2977956,18.37659457,54232.65377,3126,UV,NUV,,55310.00281,GALEX,GII,0
11 Com,G8 III,4742,185.1787793,17.7932516,2,GALEX,3.06301E+18,GI1_079004_NGC4293,185.2977956,18.37659457,54232.65377,3126,UV,FUV,,55310.00281,GALEX,GII,0
Kepler-1389,,4905,285.7174414,44.7583487,2,GALEX,3.15428E+18,GI4_056016_KEPLER_07,285.1126245,45.17551058,54608.65093,7067.25,UV,NUV,,55310.17845,GALEX,GII,0
Kepler-1389,,4905,285.7174414,44.7583487,2,GALEX,3.15428E+18,GI4_056016_KEPLER_07,285.1126245,45.17551058,54608.65093,7067.15,UV,FUV,,55310.17845,GALEX,GII,0
Kepler-1389,,4905,285.7174414,44.7583487,2,GALEX,6.37137E+18,AIS_13_1_9,285.2955638,45.20014054,53933.41666,144,UV,NUV,,55350.3803,GALEX,AIS,0
Kepler-1389,,4905,285.7174414,44.7583487,2,GALEX,6.37137E+18,AIS_13_1_9,285.2955638,45.20014054,53933.41666,144,UV,FUV,,55350.3803,GALEX,AIS,0
